feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Microbiome_gene_K00344	antivirals	antivirals	-0.672691523213214	0.29862720986446	180	133	0.0259862960324347	0.900855574211745
Microbiome_gene_K00346	antivirals	antivirals	-0.505832351798159	0.283462478649376	180	166	0.0762293311179148	0.900855574211745
Microbiome_gene_K00347	antivirals	antivirals	-0.619305915873476	0.277841128249497	180	164	0.0272162130040781	0.900855574211745
Microbiome_gene_K00348	antivirals	antivirals	-0.536160879874808	0.288362367793581	180	162	0.0648518272216977	0.900855574211745
Microbiome_gene_K00349	antivirals	antivirals	-0.587838314177457	0.294241143084566	180	169	0.0473903121180423	0.900855574211745
Microbiome_gene_K00350	antivirals	antivirals	-0.569934436990654	0.290617040249748	180	168	0.0515690762644232	0.900855574211745
Microbiome_gene_K00351	antivirals	antivirals	-0.543684018890033	0.285669513382607	180	169	0.0587673631076552	0.900855574211745
Microbiome_gene_K00372	antivirals	antivirals	-0.642719369538991	0.32130107380171	180	140	0.0474668976740591	0.900855574211745
Microbiome_gene_K00375	antifungals	antifungals	0.603904899307746	0.332632450276298	180	166	0.0713029038176561	0.900855574211745
Microbiome_gene_K00375	antibiotics	antibiotics	0.664977155226973	0.359181410401628	180	166	0.0659483474765691	0.900855574211745
Microbiome_gene_K00375	antivirals	antivirals	-0.74567282992169	0.315039670567533	180	166	0.0191255150675352	0.900855574211745
Microbiome_gene_K00382	antivirals	antivirals	-0.585019973585026	0.291812122183629	180	158	0.0467501983656637	0.900855574211745
Microbiome_gene_K00383	antivirals	antivirals	-0.48984218263833	0.303156453780971	180	136	0.108541973143405	0.900855574211745
Microbiome_gene_K00384	antivirals	antivirals	-0.50085119852806	0.277419625655098	180	169	0.0728474889331607	0.900855574211745
Microbiome_gene_K00385	antivirals	antivirals	-0.496782069504686	0.284018565299296	180	144	0.0824778482208456	0.900855574211745
Microbiome_gene_K00395	antivirals	antivirals	-0.665820146953336	0.305902058102074	180	151	0.0311194292335198	0.900855574211745
Microbiome_gene_K00426	antivirals	antivirals	-0.48708551183648	0.287318232497309	180	168	0.091931262562138	0.900855574211745
Microbiome_gene_K00428	antivirals	antivirals	-0.572624578010812	0.29621690412688	180	151	0.0551560253343804	0.900855574211745
Microbiome_gene_K00525	antivirals	antivirals	-0.470698800586473	0.291650868875588	180	168	0.108480770763198	0.900855574211745
Microbiome_gene_K00528	antivirals	antivirals	-0.516762148520467	0.303080026016488	180	167	0.0901046736938864	0.900855574211745
